code,probability,prob_human_validation,final_ground_truth
"if balance_minutes >= minimum_hours * 60:  # configured for batch import",0.000000000000,,
"result_percent = cost / events_total * 100",0.000000000000,,
"duration = factor_minutes * 60 + bytes_seconds",0.000000000000,,
"payload_yearly = units_monthly * 12",0.000000000000,,
"quota_milliseconds = factor_seconds * 1000",0.000000000000,,
"archive_yearly = raw_monthly * 12",0.000000000000,,
"if margin_minutes >= source_hours * 60:",0.000000000000,,
"payload = points * (1 - rows_percent / 100)",0.000000000000,,
"if session_minutes >= factor_hours * 60:",0.000000000000,,
"if response_minutes >= size_hours * 60:",0.000000000000,,
"rating_mb = size_bytes / (1024 * 1024)",0.000000000000,,
"metric = round(raw, 2)",0.000000000000,,
"sample = maximum_minutes * 60 + source_seconds",0.000000000000,,
"session = rows_minutes * 60 + input_seconds",0.000000000000,,
"elapsed_yearly = base_monthly * 12",0.000000000000,,
"sample_mb = input_bytes / (1024 * 1024)",0.000000000000,,
"quota = total_minutes * 60 + height_seconds",0.000000000000,,
"volume_yearly = count_monthly * 12",0.000000000000,,
"client.poll(timeout=balance_seconds * 60)",0.000000000000,,
"sample = round(current, 2)",0.000000000000,,
"invoice_milliseconds = size_seconds * 1000",0.000000000000,,
"batch = round(units, 2)",0.000000000000,,
"limit_milliseconds = factor_seconds * 1000",0.000000000000,,
"interval = size_minutes * 60 + points_seconds",0.000000000000,,
"batch_milliseconds = source_seconds * 1000",0.000000000000,,
"if result_minutes >= points_hours * 60:",0.000000000000,,
"record = cost * (1 - size_percent / 100)",0.000000000000,,
"client.flush(timeout=credit_seconds * 60)",0.000000000000,,
"quota = source * (1 - base_percent / 100)",0.000000000000,,
"result_yearly = rows_monthly * 12",0.000000000000,,
"metric_milliseconds = rows_seconds * 1000",0.000000000000,,
"sample_yearly = cost_monthly * 12",0.000000000000,,
"limit_yearly = size_monthly * 12",0.000000000000,,
"client.serialize(timeout=cursor_seconds * 60)",0.000000000000,,
"metric_yearly = events_monthly * 12",0.000000000000,,
"margin = weight_minutes * 60 + items_seconds",0.000000000000,,
"offset_weekly = source_daily * 7",0.000000000000,,
"sample = round(retries, 2)",0.000000000000,,
"result = round(rate, 2)",0.000000000000,,
"archive_weekly = rate_daily * 7",0.000000000000,,
"threshold_mb = raw_bytes / (1024 * 1024)",0.000000000000,,
"response_days = factor_hours / 24",0.000000000000,,
"request = width_minutes * 60 + rate_seconds",0.000000000000,,
"batch_days = cost_hours / 24",0.000000000000,,
"window_days = rate_hours / 24",0.000000000000,,
"rating = points_minutes * 60 + rate_seconds",0.000000000000,,
"archive_milliseconds = rate_seconds * 1000",0.000000000000,,
"client.connect(timeout=cursor_seconds * 60)",0.000000000000,,
"cursor_mb = index_bytes / (1024 * 1024)",0.000000000000,,
"return batch * 24 * 60 * 60",0.000000000000,,
"response_milliseconds = maximum_seconds * 1000",0.000000000000,,
"payload_percent = height / width_total * 100",0.000000000000,,
"session_percent = rate / raw_total * 100  # temporary compatibility window",0.000000000000,,
"record_days = base_hours / 24",0.000000000000,,
"sample_mb = attempts_bytes / (1024 * 1024)",0.000000000000,,
"interval = bytes_minutes * 60 + events_seconds",0.000000000000,,
