epoch,val_loss,val_accuracy,tp,tn,fp,fn,val_recall,val_precision,val_f1_score,val_auroc
0,0.6499860286712646,0.5925,208,29,153,10,0.9541284403669725,0.5761772853185596,0.7184801381692574,0.7355580199616897
1,0.5173836946487427,0.7375,189,106,76,29,0.8669724770642202,0.7132075471698113,0.7826086956521738,0.8314850287327352
2,0.4860498011112213,0.7675,167,140,42,51,0.7660550458715596,0.7990430622009569,0.7822014051522248,0.8470611956850489
3,0.4676181972026825,0.7725,182,127,55,36,0.8348623853211009,0.7679324894514767,0.7999999999999999,0.8617048089525153
4,0.44072362780570984,0.7775,183,128,54,35,0.8394495412844036,0.7721518987341772,0.8043956043956043,0.8762476056054037
5,0.4286651015281677,0.775,189,121,61,29,0.8669724770642202,0.756,0.8076923076923077,0.8871862082871258
6,0.4075988531112671,0.805,187,135,47,31,0.8577981651376146,0.7991452991452992,0.827433628318584,0.8954531706825285
7,0.4079571068286896,0.81,196,128,54,22,0.8990825688073395,0.784,0.8376068376068376,0.9001663474140538
8,0.40179529786109924,0.8125,191,134,48,27,0.8761467889908257,0.799163179916318,0.8358862144420132,0.9011997177134792
9,0.4025076925754547,0.8125,194,131,51,24,0.8899082568807339,0.7918367346938775,0.8380129589632829,0.9016029841717914
10,0.4025077223777771,0.8125,194,131,51,24,0.8899082568807339,0.7918367346938775,0.8380129589632829,0.9016029841717914
11,0.402447372674942,0.8125,195,130,52,23,0.8944954128440367,0.7894736842105263,0.8387096774193549,0.9018298215545921
12,0.4011068344116211,0.8175,197,130,52,21,0.9036697247706422,0.7911646586345381,0.8436830835117773,0.90326645831233
13,0.3984355330467224,0.825,186,144,38,32,0.8532110091743119,0.8303571428571429,0.8416289592760182,0.9033420707732633
14,0.4235345721244812,0.815,204,122,60,14,0.9357798165137615,0.7727272727272727,0.8464730290456433,0.9071478979735862
15,0.39983299374580383,0.8175,200,127,55,18,0.9174311926605505,0.7843137254901961,0.8456659619450316,0.9099455590281278
16,0.3746391832828522,0.8425,194,143,39,24,0.8899082568807339,0.8326180257510729,0.860310421286031,0.91324730315556
17,0.43770572543144226,0.8125,209,116,66,9,0.9587155963302753,0.76,0.8478701825557808,0.9193719124911786
18,0.36829856038093567,0.845,181,157,25,37,0.8302752293577982,0.8786407766990292,0.8537735849056604,0.9183133380381087
19,0.36157935857772827,0.845,190,148,34,28,0.8715596330275229,0.8482142857142857,0.8597285067873303,0.9230769230769232
20,0.38134562969207764,0.835,207,127,55,11,0.9495412844036697,0.7900763358778626,0.8625,0.933284605302954
21,0.3265703022480011,0.875,202,148,34,16,0.926605504587156,0.8559322033898306,0.8898678414096917,0.9381238028027018
22,0.3432302474975586,0.8525,208,133,49,10,0.9541284403669725,0.8093385214007782,0.8757894736842105,0.941324730315556
23,0.31878429651260376,0.865,196,150,32,22,0.8990825688073395,0.8596491228070176,0.8789237668161435,0.9381742111099909
24,0.3366379737854004,0.8725,198,151,31,20,0.908256880733945,0.8646288209606987,0.8859060402684563,0.9373928823470109
25,0.33510100841522217,0.8675,195,152,30,23,0.8944954128440367,0.8666666666666667,0.8803611738148984,0.9379221695735457
26,0.33251166343688965,0.865,195,151,31,23,0.8944954128440367,0.8628318584070797,0.8783783783783784,0.9402913600161306
27,0.3371396064758301,0.87,197,151,31,21,0.9036697247706422,0.8640350877192983,0.883408071748879,0.9410474846254663
28,0.3425649106502533,0.8675,197,150,32,21,0.9036697247706422,0.8602620087336245,0.8814317673378077,0.9410978929327554
29,0.34347623586654663,0.865,196,150,32,22,0.8990825688073395,0.8596491228070176,0.8789237668161435,0.9407702389353765
30,0.3434763252735138,0.865,196,150,32,22,0.8990825688073395,0.8596491228070176,0.8789237668161435,0.9407702389353765
31,0.34499892592430115,0.87,198,150,32,20,0.908256880733945,0.8608695652173913,0.8839285714285715,0.9407702389353766
32,0.3527258634567261,0.8675,197,150,32,21,0.9036697247706422,0.8602620087336245,0.8814317673378077,0.9398628894041738
33,0.3559001088142395,0.8525,187,154,28,31,0.8577981651376146,0.8697674418604651,0.8637413394919169,0.9403921766307087
34,0.380104124546051,0.8675,204,143,39,14,0.9357798165137615,0.8395061728395061,0.8850325379609545,0.9416523843129347
35,0.360291063785553,0.85,186,154,28,32,0.8532110091743119,0.8691588785046729,0.861111111111111,0.9394596229458615
36,0.37168753147125244,0.86,202,142,40,16,0.926605504587156,0.8347107438016529,0.8782608695652173,0.9391571731021272
37,0.36811527609825134,0.855,198,144,38,20,0.908256880733945,0.8389830508474576,0.8722466960352423,0.9392579897167053
38,0.35324573516845703,0.8675,194,153,29,24,0.8899082568807339,0.8699551569506726,0.8798185941043083,0.9422824881540478
39,0.3854913115501404,0.86,195,149,33,23,0.8944954128440367,0.8552631578947368,0.8744394618834082,0.9384010484927916
40,0.38169431686401367,0.8675,199,148,34,19,0.9128440366972477,0.8540772532188842,0.8824833702882483,0.9416523843129347
41,0.39760664105415344,0.8525,194,147,35,24,0.8899082568807339,0.8471615720524017,0.8680089485458613,0.9393083980239944
42,0.43791452050209045,0.845,190,148,34,28,0.8715596330275229,0.8482142857142857,0.8597285067873303,0.9358302248210505
43,0.3987281322479248,0.855,189,153,29,29,0.8669724770642202,0.8669724770642202,0.8669724770642202,0.9429377961488054
