,trial_no,hps,macro_f1_score
0,0,"{'dropout_conv_earlier': '0.20885', 'dropout_conv_later': '0.22763', 'dropout_fc': '0.10793', 'lr': '0.00002', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_95'}",0.2288
1,1,"{'dropout_conv_earlier': '0.25179', 'dropout_conv_later': '0.12866', 'dropout_fc': '0.55612', 'lr': '0.00037', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_98'}",0.2128
2,2,"{'dropout_conv_earlier': '0.14183', 'dropout_conv_later': '0.12652', 'dropout_fc': '0.37924', 'lr': '0.00005', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.2304
3,3,"{'dropout_conv_earlier': '0.22183', 'dropout_conv_later': '0.21517', 'dropout_fc': '0.56863', 'lr': '0.00142', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'cosine'}",0.1302
4,4,"{'dropout_conv_earlier': '0.24346', 'dropout_conv_later': '0.16423', 'dropout_fc': '0.50551', 'lr': '0.00156', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.2018
5,5,"{'dropout_conv_earlier': '0.16230', 'dropout_conv_later': '0.25165', 'dropout_fc': '0.44905', 'lr': '0.00011', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_80'}",0.2263
6,6,"{'dropout_conv_earlier': '0.00008', 'dropout_conv_later': '0.29614', 'dropout_fc': '0.36080', 'lr': '0.00114', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'cosine'}",0.1131
7,7,"{'dropout_conv_earlier': '0.13038', 'dropout_conv_later': '0.06399', 'dropout_fc': '0.34385', 'lr': '0.00022', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.2366
8,8,"{'dropout_conv_earlier': '0.02177', 'dropout_conv_later': '0.15866', 'dropout_fc': '0.45926', 'lr': '0.00126', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_95'}",0.241
9,9,"{'dropout_conv_earlier': '0.24108', 'dropout_conv_later': '0.16657', 'dropout_fc': '0.34831', 'lr': '0.00179', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_95'}",0.0972
10,10,"{'dropout_conv_earlier': '0.00104', 'dropout_conv_later': '0.00489', 'dropout_fc': '0.18426', 'lr': '0.00599', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.0972
11,11,"{'dropout_conv_earlier': '0.06924', 'dropout_conv_later': '0.04438', 'dropout_fc': '0.24383', 'lr': '0.00028', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.2312
12,12,"{'dropout_conv_earlier': '0.08550', 'dropout_conv_later': '0.07418', 'dropout_fc': '0.01234', 'lr': '0.00033', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.2234
13,13,"{'dropout_conv_earlier': '0.06238', 'dropout_conv_later': '0.08923', 'dropout_fc': '0.45908', 'lr': '0.00013', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.2345
14,14,"{'dropout_conv_earlier': '0.11891', 'dropout_conv_later': '0.09252', 'dropout_fc': '0.27296', 'lr': '0.00062', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.3045
