,trial_no,hps,macro_f1_score
0,0,"{'dropout_conv_earlier': '0.28309', 'dropout_conv_later': '0.10972', 'dropout_fc': '0.42787', 'lr': '0.00583', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.1154
1,1,"{'dropout_conv_earlier': '0.23632', 'dropout_conv_later': '0.08655', 'dropout_fc': '0.09172', 'lr': '0.00005', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_95'}",0.1154
2,2,"{'dropout_conv_earlier': '0.05472', 'dropout_conv_later': '0.17565', 'dropout_fc': '0.13084', 'lr': '0.00082', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_95'}",0.1154
3,3,"{'dropout_conv_earlier': '0.18350', 'dropout_conv_later': '0.07907', 'dropout_fc': '0.28714', 'lr': '0.00362', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1154
4,4,"{'dropout_conv_earlier': '0.19034', 'dropout_conv_later': '0.22153', 'dropout_fc': '0.50725', 'lr': '0.00054', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_90'}",0.1154
5,5,"{'dropout_conv_earlier': '0.08440', 'dropout_conv_later': '0.16963', 'dropout_fc': '0.14923', 'lr': '0.00324', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1154
6,6,"{'dropout_conv_earlier': '0.10756', 'dropout_conv_later': '0.09404', 'dropout_fc': '0.23257', 'lr': '0.00284', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_90'}",0.1154
7,7,"{'dropout_conv_earlier': '0.22013', 'dropout_conv_later': '0.22827', 'dropout_fc': '0.10871', 'lr': '0.00037', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'cosine'}",0.1154
8,8,"{'dropout_conv_earlier': '0.22436', 'dropout_conv_later': '0.16531', 'dropout_fc': '0.59357', 'lr': '0.00212', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1154
9,9,"{'dropout_conv_earlier': '0.03907', 'dropout_conv_later': '0.15577', 'dropout_fc': '0.10168', 'lr': '0.00006', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1154
10,10,"{'dropout_conv_earlier': '0.29610', 'dropout_conv_later': '0.00858', 'dropout_fc': '0.41595', 'lr': '0.00012', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.1154
11,11,"{'dropout_conv_earlier': '0.29747', 'dropout_conv_later': '0.08272', 'dropout_fc': '0.00604', 'lr': '0.00002', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.1154
12,12,"{'dropout_conv_earlier': '0.25326', 'dropout_conv_later': '0.02475', 'dropout_fc': '0.40033', 'lr': '0.00011', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.1154
13,13,"{'dropout_conv_earlier': '0.26063', 'dropout_conv_later': '0.11146', 'dropout_fc': '0.40792', 'lr': '0.00002', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.1154
14,14,"{'dropout_conv_earlier': '0.14263', 'dropout_conv_later': '0.28655', 'dropout_fc': '0.28082', 'lr': '0.00017', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'cosine'}",0.1154
