,trial_no,hps,macro_f1_score
0,0,"{'dropout_conv_earlier': '0.16127', 'dropout_conv_later': '0.22705', 'dropout_fc': '0.50744', 'lr': '0.00030', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'cosine'}",0.9467
1,1,"{'dropout_conv_earlier': '0.21112', 'dropout_conv_later': '0.06971', 'dropout_fc': '0.50550', 'lr': '0.00144', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1133
2,2,"{'dropout_conv_earlier': '0.20446', 'dropout_conv_later': '0.20264', 'dropout_fc': '0.30983', 'lr': '0.00084', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1661
3,3,"{'dropout_conv_earlier': '0.06643', 'dropout_conv_later': '0.24395', 'dropout_fc': '0.03636', 'lr': '0.00072', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.9891
4,4,"{'dropout_conv_earlier': '0.05406', 'dropout_conv_later': '0.08154', 'dropout_fc': '0.01474', 'lr': '0.00053', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_98'}",0.9885
5,5,"{'dropout_conv_earlier': '0.13689', 'dropout_conv_later': '0.29299', 'dropout_fc': '0.07744', 'lr': '0.00023', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_80'}",0.9439
6,6,"{'dropout_conv_earlier': '0.00312', 'dropout_conv_later': '0.29441', 'dropout_fc': '0.48000', 'lr': '0.00056', 'activation_func': 'relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.1665
7,7,"{'dropout_conv_earlier': '0.09750', 'dropout_conv_later': '0.07704', 'dropout_fc': '0.02543', 'lr': '0.00002', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_80'}",0.8697
8,8,"{'dropout_conv_earlier': '0.06146', 'dropout_conv_later': '0.02595', 'dropout_fc': '0.49978', 'lr': '0.00039', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_90'}",0.9696
9,9,"{'dropout_conv_earlier': '0.20547', 'dropout_conv_later': '0.13303', 'dropout_fc': '0.46304', 'lr': '0.00278', 'activation_func': 'leaky_relu', 'optimizer': 'adam', 'scheduler': 'exp_95'}",0.0892
10,10,"{'dropout_conv_earlier': '0.28188', 'dropout_conv_later': '0.18844', 'dropout_fc': '0.16582', 'lr': '0.00560', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.0627
11,11,"{'dropout_conv_earlier': '0.02399', 'dropout_conv_later': '0.12875', 'dropout_fc': '0.16955', 'lr': '0.00009', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.9648
12,12,"{'dropout_conv_earlier': '0.06746', 'dropout_conv_later': '0.07581', 'dropout_fc': '0.00095', 'lr': '0.00014', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.9648
13,13,"{'dropout_conv_earlier': '0.09959', 'dropout_conv_later': '0.24296', 'dropout_fc': '0.13207', 'lr': '0.00111', 'activation_func': 'leaky_relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.9763
14,14,"{'dropout_conv_earlier': '0.03941', 'dropout_conv_later': '0.16749', 'dropout_fc': '0.25265', 'lr': '0.00006', 'activation_func': 'relu', 'optimizer': 'adamw', 'scheduler': 'exp_98'}",0.9452
