img_path,label
../datasets/fashion_mnist/train/0\0003.png,0
../datasets/fashion_mnist/train/0\0010.png,0
../datasets/fashion_mnist/train/0\0013.png,0
../datasets/fashion_mnist/train/0\0024.png,0
../datasets/fashion_mnist/train/0\0031.png,0
../datasets/fashion_mnist/train/0\0041.png,0
../datasets/fashion_mnist/train/0\0044.png,0
../datasets/fashion_mnist/train/0\0080.png,0
../datasets/fashion_mnist/train/0\0092.png,0
../datasets/fashion_mnist/train/0\0102.png,0
../datasets/fashion_mnist/train/0\0105.png,0
../datasets/fashion_mnist/train/0\0110.png,0
../datasets/fashion_mnist/train/0\0122.png,0
../datasets/fashion_mnist/train/0\0140.png,0
../datasets/fashion_mnist/train/0\0143.png,0
../datasets/fashion_mnist/train/0\0164.png,0
../datasets/fashion_mnist/train/0\0174.png,0
../datasets/fashion_mnist/train/0\0182.png,0
../datasets/fashion_mnist/train/0\0183.png,0
../datasets/fashion_mnist/train/0\0198.png,0
../datasets/fashion_mnist/train/0\0221.png,0
../datasets/fashion_mnist/train/0\0222.png,0
../datasets/fashion_mnist/train/0\0236.png,0
../datasets/fashion_mnist/train/0\0260.png,0
../datasets/fashion_mnist/train/0\0278.png,0
../datasets/fashion_mnist/train/0\0306.png,0
../datasets/fashion_mnist/train/0\0316.png,0
../datasets/fashion_mnist/train/0\0325.png,0
../datasets/fashion_mnist/train/0\0340.png,0
../datasets/fashion_mnist/train/0\0348.png,0
../datasets/fashion_mnist/train/0\0375.png,0
../datasets/fashion_mnist/train/0\0386.png,0
../datasets/fashion_mnist/train/0\0388.png,0
../datasets/fashion_mnist/train/0\0392.png,0
../datasets/fashion_mnist/train/0\0395.png,0
../datasets/fashion_mnist/train/0\0400.png,0
../datasets/fashion_mnist/train/0\0409.png,0
../datasets/fashion_mnist/train/0\0415.png,0
../datasets/fashion_mnist/train/0\0417.png,0
../datasets/fashion_mnist/train/0\0426.png,0
../datasets/fashion_mnist/train/0\0439.png,0
../datasets/fashion_mnist/train/0\0441.png,0
../datasets/fashion_mnist/train/0\0442.png,0
../datasets/fashion_mnist/train/0\0453.png,0
../datasets/fashion_mnist/train/0\0455.png,0
../datasets/fashion_mnist/train/0\0457.png,0
../datasets/fashion_mnist/train/0\0463.png,0
../datasets/fashion_mnist/train/0\0466.png,0
../datasets/fashion_mnist/train/0\0474.png,0
../datasets/fashion_mnist/train/0\0483.png,0
../datasets/fashion_mnist/train/0\0486.png,0
../datasets/fashion_mnist/train/0\0488.png,0
../datasets/fashion_mnist/train/0\0506.png,0
../datasets/fashion_mnist/train/0\0529.png,0
../datasets/fashion_mnist/train/0\0569.png,0
../datasets/fashion_mnist/train/0\0583.png,0
../datasets/fashion_mnist/train/0\0587.png,0
../datasets/fashion_mnist/train/0\0600.png,0
../datasets/fashion_mnist/train/0\0612.png,0
../datasets/fashion_mnist/train/0\0614.png,0
../datasets/fashion_mnist/train/0\0618.png,0
../datasets/fashion_mnist/train/0\0625.png,0
../datasets/fashion_mnist/train/0\0626.png,0
../datasets/fashion_mnist/train/0\0629.png,0
../datasets/fashion_mnist/train/0\0632.png,0
../datasets/fashion_mnist/train/0\0653.png,0
../datasets/fashion_mnist/train/0\0659.png,0
../datasets/fashion_mnist/train/0\0662.png,0
../datasets/fashion_mnist/train/0\0663.png,0
../datasets/fashion_mnist/train/0\0677.png,0
../datasets/fashion_mnist/train/0\0687.png,0
../datasets/fashion_mnist/train/0\0691.png,0
../datasets/fashion_mnist/train/0\0692.png,0
../datasets/fashion_mnist/train/0\0711.png,0
../datasets/fashion_mnist/train/0\0730.png,0
../datasets/fashion_mnist/train/0\0731.png,0
../datasets/fashion_mnist/train/0\0743.png,0
../datasets/fashion_mnist/train/0\0751.png,0
../datasets/fashion_mnist/train/0\0780.png,0
../datasets/fashion_mnist/train/0\0790.png,0
../datasets/fashion_mnist/train/0\0802.png,0
../datasets/fashion_mnist/train/0\0808.png,0
../datasets/fashion_mnist/train/0\0813.png,0
../datasets/fashion_mnist/train/0\0820.png,0
../datasets/fashion_mnist/train/0\0826.png,0
../datasets/fashion_mnist/train/0\0838.png,0
../datasets/fashion_mnist/train/0\0839.png,0
../datasets/fashion_mnist/train/0\0842.png,0
../datasets/fashion_mnist/train/0\0848.png,0
../datasets/fashion_mnist/train/0\0856.png,0
../datasets/fashion_mnist/train/0\0857.png,0
../datasets/fashion_mnist/train/0\0859.png,0
../datasets/fashion_mnist/train/0\0872.png,0
../datasets/fashion_mnist/train/0\0883.png,0
../datasets/fashion_mnist/train/0\0884.png,0
../datasets/fashion_mnist/train/0\0891.png,0
../datasets/fashion_mnist/train/0\0900.png,0
../datasets/fashion_mnist/train/0\0910.png,0
../datasets/fashion_mnist/train/0\0912.png,0
../datasets/fashion_mnist/train/0\0917.png,0
../datasets/fashion_mnist/train/0\0930.png,0
../datasets/fashion_mnist/train/0\0934.png,0
../datasets/fashion_mnist/train/0\0939.png,0
../datasets/fashion_mnist/train/0\0945.png,0
../datasets/fashion_mnist/train/0\0965.png,0
../datasets/fashion_mnist/train/0\0976.png,0
../datasets/fashion_mnist/train/0\0984.png,0
../datasets/fashion_mnist/train/0\0993.png,0
../datasets/fashion_mnist/train/0\1001.png,0
../datasets/fashion_mnist/train/0\10019.png,0
../datasets/fashion_mnist/train/0\10024.png,0
../datasets/fashion_mnist/train/0\10042.png,0
../datasets/fashion_mnist/train/0\10051.png,0
../datasets/fashion_mnist/train/0\10052.png,0
../datasets/fashion_mnist/train/0\10054.png,0
../datasets/fashion_mnist/train/0\10060.png,0
../datasets/fashion_mnist/train/0\10095.png,0
../datasets/fashion_mnist/train/0\10097.png,0
../datasets/fashion_mnist/train/0\10109.png,0
../datasets/fashion_mnist/train/0\10125.png,0
../datasets/fashion_mnist/train/0\10126.png,0
../datasets/fashion_mnist/train/0\10135.png,0
../datasets/fashion_mnist/train/0\10155.png,0
../datasets/fashion_mnist/train/0\10157.png,0
../datasets/fashion_mnist/train/0\10161.png,0
../datasets/fashion_mnist/train/0\10169.png,0
../datasets/fashion_mnist/train/0\10195.png,0
../datasets/fashion_mnist/train/0\10197.png,0
../datasets/fashion_mnist/train/0\10198.png,0
../datasets/fashion_mnist/train/0\10213.png,0
../datasets/fashion_mnist/train/0\10216.png,0
../datasets/fashion_mnist/train/0\10218.png,0
../datasets/fashion_mnist/train/0\10228.png,0
../datasets/fashion_mnist/train/0\10242.png,0
../datasets/fashion_mnist/train/0\10253.png,0
../datasets/fashion_mnist/train/0\10255.png,0
../datasets/fashion_mnist/train/0\10271.png,0
../datasets/fashion_mnist/train/0\10273.png,0
../datasets/fashion_mnist/train/0\1028.png,0
../datasets/fashion_mnist/train/0\10285.png,0
../datasets/fashion_mnist/train/0\10312.png,0
../datasets/fashion_mnist/train/0\10322.png,0
../datasets/fashion_mnist/train/0\10324.png,0
../datasets/fashion_mnist/train/0\10352.png,0
../datasets/fashion_mnist/train/0\10355.png,0
../datasets/fashion_mnist/train/0\10358.png,0
../datasets/fashion_mnist/train/0\10360.png,0
../datasets/fashion_mnist/train/0\10361.png,0
../datasets/fashion_mnist/train/0\10364.png,0
../datasets/fashion_mnist/train/0\10373.png,0
../datasets/fashion_mnist/train/0\10377.png,0
../datasets/fashion_mnist/train/0\10390.png,0
../datasets/fashion_mnist/train/0\10398.png,0
../datasets/fashion_mnist/train/0\10407.png,0
../datasets/fashion_mnist/train/0\10423.png,0
../datasets/fashion_mnist/train/0\10443.png,0
../datasets/fashion_mnist/train/0\10462.png,0
../datasets/fashion_mnist/train/0\10479.png,0
../datasets/fashion_mnist/train/0\1048.png,0
../datasets/fashion_mnist/train/0\10481.png,0
../datasets/fashion_mnist/train/0\10505.png,0
../datasets/fashion_mnist/train/0\10531.png,0
../datasets/fashion_mnist/train/0\10541.png,0
