,epoch,time,loss,grad_norm,learning_rate,mean_token_accuracy
0,0.04,2025-07-30 13:35:05,2.3154,2.5908,0.000298,0.5464
1,0.08,-,1.6589,2.964,0.000295,0.6405
2,0.12,-,1.678,2.8889,0.000293,0.6461
3,0.17,-,1.8553,1.5515,0.00029,0.6072
4,0.21,-,1.5439,1.3291,0.000288,0.6549
5,0.25,-,1.5282,1.4046,0.000285,0.6533
6,0.29,-,1.7604,1.6786,0.000283,0.6382
7,0.33,-,1.6121,1.6961,0.00028,0.6428
8,0.37,-,1.4751,2.1062,0.000278,0.6741
9,0.41,-,1.5618,1.208,0.000275,0.6523
10,0.46,-,1.6007,0.9528,0.000273,0.6375
11,0.5,-,1.7321,2.1198,0.00027,0.6458
12,0.54,-,1.6178,1.9698,0.000268,0.6385
13,0.58,-,1.4819,1.225,0.000265,0.6759
14,0.62,-,1.6754,1.2955,0.000263,0.6434
15,0.66,-,1.6499,0.8382,0.00026,0.6462
16,0.7,-,1.6612,1.3379,0.000258,0.6402
17,0.75,-,1.5056,1.6033,0.000255,0.6698
18,0.79,-,1.4714,2.01,0.000253,0.6767
19,0.83,-,1.4594,2.1605,0.00025,0.6547
20,0.87,-,1.5443,0.8584,0.000248,0.6677
21,0.91,-,1.3193,1.0995,0.000245,0.676
22,0.95,-,1.5191,0.793,0.000243,0.6528
23,0.99,-,1.4674,1.4393,0.00024,0.6648
24,1.04,2025-07-30 13:49:51,1.0464,1.2751,0.000238,0.7524
25,1.08,-,1.055,1.1333,0.000236,0.7463
26,1.12,-,0.9921,1.566,0.000233,0.7491
27,1.16,-,1.0342,1.093,0.000231,0.7297
28,1.2,-,0.9826,1.2916,0.000228,0.7342
29,1.24,-,0.9895,1.6853,0.000226,0.731
30,1.28,-,1.0504,1.3206,0.000223,0.7194
31,1.33,-,0.9402,0.8109,0.000221,0.7473
32,1.37,-,0.9984,1.4554,0.000218,0.7159
33,1.41,-,1.0188,0.833,0.000216,0.7548
34,1.45,-,1.073,1.623,0.000213,0.7103
35,1.49,-,1.2092,1.1517,0.000211,0.7031
36,1.53,-,0.9768,0.7714,0.000208,0.7546
37,1.57,-,1.0324,1.6442,0.000206,0.7303
38,1.61,-,1.2269,1.482,0.000203,0.6695
39,1.66,-,1.0492,4.9813,0.000201,0.7254
40,1.7,-,1.1567,1.3119,0.000198,0.6907
41,1.74,-,0.8759,1.0571,0.000196,0.7596
42,1.78,-,1.0152,1.3866,0.000193,0.7202
43,1.82,-,1.0289,0.98,0.000191,0.7187
44,1.86,-,0.9464,1.8159,0.000188,0.7415
45,1.9,-,1.007,0.4839,0.000186,0.7434
46,1.95,-,1.0091,1.5796,0.000183,0.7334
47,1.99,-,0.9099,1.1802,0.000181,0.7426
48,2.03,2025-07-30 14:02:04,0.7749,1.6333,0.000178,0.7795
49,2.07,-,0.5545,1.2535,0.000176,0.8327
50,2.11,-,0.6807,1.0977,0.000173,0.802
51,2.15,-,0.6415,3.0136,0.000171,0.8019
52,2.19,-,0.6469,1.4928,0.000168,0.8207
53,2.24,-,0.6034,2.1454,0.000166,0.8037
54,2.28,-,0.5439,0.9105,0.000163,0.8235
55,2.32,-,0.5604,1.663,0.000161,0.8199
56,2.36,-,0.5834,0.7876,0.000159,0.816
57,2.4,-,0.6768,2.2781,0.000156,0.8105
58,2.44,-,0.6103,1.5988,0.000154,0.8132
59,2.48,-,0.6803,1.5869,0.000151,0.7871
60,2.53,-,0.6414,1.0004,0.000149,0.8162
61,2.57,-,0.6464,1.8516,0.000146,0.8098
62,2.61,-,0.6237,1.2214,0.000144,0.8127
63,2.65,-,0.5314,1.6866,0.000141,0.8352
64,2.69,-,0.734,1.6446,0.000139,0.7693
65,2.73,-,0.6055,0.756,0.000136,0.8012
66,2.77,-,0.6402,1.2181,0.000134,0.8103
67,2.82,-,0.7041,2.9846,0.000131,0.783
68,2.86,-,0.5239,3.3757,0.000129,0.8141
69,2.9,-,0.6702,0.9297,0.000126,0.7701
70,2.94,-,0.6252,0.9356,0.000124,0.8056
71,2.98,-,0.6355,1.2922,0.000121,0.8326
72,3.02,2025-07-30 14:15:08,0.4225,1.2312,0.000119,0.8685
73,3.06,-,0.2313,1.0607,0.000116,0.9035
74,3.11,-,0.3369,1.388,0.000114,0.8725
75,3.15,-,0.4025,1.102,0.000111,0.856
76,3.19,-,0.3166,1.2422,0.000109,0.8889
77,3.23,-,0.3414,0.4219,0.000106,0.8752
78,3.27,-,0.3149,1.1759,0.000104,0.8794
79,3.31,-,0.3406,0.8566,0.000101,0.8848
80,3.35,-,0.278,1.1596,9.9e-05,0.9175
81,3.4,-,0.3244,1.0699,9.6e-05,0.8823
82,3.44,-,0.3753,1.4186,9.4e-05,0.8903
83,3.48,-,0.3648,1.2595,9.1e-05,0.8843
84,3.52,-,0.3781,2.1035,8.9e-05,0.8595
85,3.56,-,0.3406,0.5299,8.6e-05,0.8873
86,3.6,-,0.3136,0.8684,8.4e-05,0.8872
87,3.64,-,0.278,1.6241,8.1e-05,0.916
88,3.69,-,0.3488,0.2313,7.9e-05,0.8853
89,3.73,-,0.3021,0.8924,7.7e-05,0.9173
90,3.77,-,0.2263,0.9429,7.4e-05,0.9144
91,3.81,-,0.3142,0.4059,7.2e-05,0.8984
92,3.85,-,0.3623,0.2993,6.9e-05,0.8921
93,3.89,-,0.3576,1.5013,6.7e-05,0.8805
94,3.93,-,0.3513,1.1167,6.4e-05,0.8877
95,3.98,-,0.2882,2.1627,6.2e-05,0.9052
96,4.02,2025-07-30 14:28:02,0.2579,0.5859,5.9e-05,0.9203
97,4.06,-,0.1386,0.6244,5.7e-05,0.9657
98,4.1,-,0.1071,1.0842,5.4e-05,0.9728
99,4.14,-,0.1606,0.5852,5.2e-05,0.9453
100,4.18,-,0.1409,0.3971,4.9e-05,0.9569
101,4.22,-,0.1242,0.0926,4.7e-05,0.9599
102,4.27,-,0.131,1.3492,4.4e-05,0.9524
103,4.31,-,0.128,0.3943,4.2e-05,0.9634
104,4.35,-,0.1366,1.021,3.9e-05,0.9562
105,4.39,-,0.1177,1.5467,3.7e-05,0.9563
106,4.43,-,0.1239,1.0267,3.4e-05,0.9623
107,4.47,-,0.133,0.9423,3.2e-05,0.9563
108,4.51,-,0.1127,0.8557,2.9e-05,0.9685
109,4.55,-,0.1272,1.0344,2.7e-05,0.9754
110,4.6,-,0.1343,2.8382,2.4e-05,0.9596
111,4.64,-,0.1308,0.0405,2.2e-05,0.957
112,4.68,-,0.1625,0.5781,1.9e-05,0.9358
113,4.72,-,0.1292,0.5108,1.7e-05,0.9637
114,4.76,-,0.1447,0.1718,1.4e-05,0.949
115,4.8,-,0.1567,1.7375,1.2e-05,0.9481
116,4.84,-,0.1094,0.6067,9e-06,0.9641
117,4.89,-,0.1204,2.0249,7e-06,0.9564
118,4.93,-,0.0961,1.3443,4e-06,0.9668
119,4.97,-,0.1713,1.0533,2e-06,0.9403
