,task_id,func_name,text1,text2,result,inference_time,timestamp
0,01_unnecessary_prints,get_prob,"logger.info(""3335555"")",,0.57740843,0.297,1790240638.401
1,01_unnecessary_prints,get_prob,print(IMPORT_NUM),,-0.17910896,0.031,1790240638.433
2,01_unnecessary_prints,get_prob,print(imported_value),,-0.41659182,0.031,1790240638.48
3,01_unnecessary_prints,get_prob,"logger.warning(""server error detected"")",,0.30705702,0.031,1790240638.511
4,01_unnecessary_prints,get_prob,"logger.error(""server fault"")",,0.19760296,0.031,1790240638.542
5,01_unnecessary_prints,get_prob,"logger.info(""info"")",,1.1142442,0.031,1790240638.573
6,01_unnecessary_prints,get_prob,"logger.debug(""debug"")",,0.5597954,0.047,1790240638.62
7,01_unnecessary_prints,get_prob,logger.debug('debug test'),,0.38681442,0.031,1790240638.651
8,01_unnecessary_prints,get_prob,"logger.critical(""CRITICAL ERROR DETECTED !!"")",,0.5018224,0.031,1790240638.683
9,01_unnecessary_prints,get_prob,print('test'),,0.24244697,0.031,1790240638.714
10,01_unnecessary_prints,get_prob,"print(""testing ..."")",,0.4018891,0.031,1790240638.745
11,01_unnecessary_prints,get_prob,print(1),,0.143187,0.031,1790240638.792
12,01_unnecessary_prints,get_prob,print(logger),,0.3048584,0.031,1790240638.823
13,01_unnecessary_prints,get_prob,print(2 + len(str(logger))),,0.3109995,0.031,1790240638.855
14,01_unnecessary_prints,get_prob,print('ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd more than line length 120 ========================='),,1.0786587,0.031,1790240638.886
15,01_unnecessary_prints,get_prob,"print(without_type_hint(2025, 113, 'REBEL HEART'))",,0.49495417,0.047,1790240638.933
16,01_unnecessary_prints,get_prob,"print(with_type_hint(2025, 113, 'REBEL HEART'))",,0.57533145,0.031,1790240638.964
17,01_unnecessary_prints,get_prob,print(1234),,0.05125864,0.031,1790240638.995
18,01_unnecessary_prints,get_prob,print(5678),,0.31920958,0.031,1790240639.026
19,01_unnecessary_prints,get_prob,print(sum([p for p in primes if p >= 10])),,-0.52601314,0.031,1790240639.058
20,01_unnecessary_prints,get_prob,print(max([p for p in primes if p % 3 == 2])),,-0.70624465,0.031,1790240639.105
21,01_unnecessary_prints,get_prob,print(min([p for p in primes if p % 3 == 1])),,-0.5286795,0.031,1790240639.136
22,01_unnecessary_prints,get_prob,print(all([p % 2 == 1 for p in primes])),,-1.014233,0.031,1790240639.167
23,01_unnecessary_prints,get_prob,print(any([p % 2 == 1 for p in primes])),,-1.0490038,0.031,1790240639.198
24,01_unnecessary_prints,get_prob,print(sum(p for p in primes if p >= 10)),,-0.3357457,0.047,1790240639.245
25,01_unnecessary_prints,get_prob,print(max(p for p in primes if p % 3 == 2)),,-0.67146945,0.031,1790240639.276
26,01_unnecessary_prints,get_prob,print(min(p for p in primes if p % 3 == 1)),,-0.4286638,0.031,1790240639.308
27,01_unnecessary_prints,get_prob,print(all(p % 2 == 1 for p in primes)),,-1.2120329,0.031,1790240639.339
28,01_unnecessary_prints,get_prob,print(any(p % 2 == 1 for p in primes)),,-1.0542983,0.031,1790240639.37
29,01_unnecessary_prints,get_prob,print(txt_files),,0.24503182,0.031,1790240639.417
30,01_unnecessary_prints,get_prob,print(function_result),,0.46570158,0.031,1790240639.448
31,01_unnecessary_prints,get_prob,"print(""최종 반환:"", result)",,0.6740806,0.031,1790240639.48
32,01_similar_variables,get_embedding,PRESERVED_WORDS,,"[-0.2713275  -1.2743421   0.51819575 -0.13206954 -2.8029208  -0.61808527
 -2.333367   -1.1559184  -1",0.047,1790240641.511
33,01_similar_variables,get_embedding,QUOTES,,"[ 1.60291743e+00  6.27811074e-01  1.03575039e+00  2.63295507e+00
 -1.24531329e+00  1.38920844e-01 -1",0.031,1790240641.558
34,01_similar_variables,get_embedding,TWO_DOUBLE_QUOTES,,"[-7.40021348e-01  1.69939530e+00  1.06741977e+00  2.64537024e+00
 -1.35202706e+00 -1.79424226e-01 -2",0.031,1790240641.589
35,01_similar_variables,get_embedding,QUOTES_BOUND,,"[ 5.30089915e-01  3.33209932e-01 -4.22629774e-01  1.48489618e+00
  2.78083801e-01 -1.44065663e-01 -8",0.031,1790240641.636
36,01_similar_variables,get_embedding,ANY_CONST_OR_VAR,,"[ 1.07338595e+00  5.77834189e-01  2.84642744e+00  1.84485483e+00
 -1.70496571e+00 -6.98827803e-01 -2",0.031,1790240641.683
37,01_similar_variables,get_embedding,result,,"[ 1.50070146e-01 -6.90646470e-01 -1.49498022e+00  4.32917662e-02
 -6.70908988e-01  1.64463413e+00 -2",0.031,1790240641.714
38,01_similar_variables,get_embedding,final_review,,"[ 1.43007421e+00 -1.39740682e+00  1.09962180e-01  1.90777689e-01
  2.08379221e+00  1.83509445e+00 -6",0.031,1790240641.808
39,01_similar_variables,get_embedding,py_file_path,,"[ 1.43470323e+00 -1.06722808e+00  1.08706784e+00  4.84789044e-01
  4.08067465e-01 -1.03401577e+00  6",0.031,1790240641.854
40,01_similar_variables,get_embedding,human_friendly_review,,"[ 1.06236935e+00 -2.09267068e+00  1.41793191e+00  1.35787559e+00
  1.22186339e+00  2.02616262e+00 -1",0.047,1790240641.901
41,01_similar_variables,get_embedding,info_key,,"[ 0.9432577   0.47532064  2.2672737   1.7432553  -0.5378161  -0.3224824
 -0.67114294 -1.2485342   0.",0.031,1790240641.948
42,01_similar_variables,get_embedding,human_friendly_info_key,,"[ 3.29828002e-02 -1.29650986e+00  3.06193495e+00  1.73944783e+00
 -1.19544953e-01 -8.05066466e-01 -9",0.031,1790240641.995
43,01_similar_variables,get_embedding,item,,"[-1.70121658e+00 -2.73362327e+00  8.14968050e-01  3.09687287e-01
 -9.54889119e-01 -3.28418493e-01 -1",0.031,1790240642.057
44,01_similar_variables,get_embedding,replaced_newline_str,,"[ 1.26106620e+00 -5.56349635e-01 -6.69623911e-01  1.30045700e+00
 -1.11277497e+00  1.73344716e-01 -1",0.031,1790240642.136
45,01_similar_variables,get_embedding,readline,,"[ 6.85501218e-01 -8.76274943e-01  3.50546658e-01  6.58995986e-01
 -7.13363439e-02 -1.28536391e+00 -1",0.031,1790240642.182
46,01_similar_variables,get_embedding,token,,"[-2.76668280e-01 -4.16130036e-01  1.35120523e+00  1.54425815e-01
  4.40712363e-01  1.67601287e+00 -2",0.031,1790240642.245
47,01_similar_variables,get_embedding,lines,,"[ 6.09271944e-01  5.86828470e-01  1.92528620e-01  1.31053102e+00
 -3.69069606e-01 -1.62516451e+00 -1",0.031,1790240642.292
48,01_similar_variables,get_embedding,line,,"[ 8.81572440e-02  2.28238776e-01  6.88335359e-01  6.16577685e-01
 -1.11532986e+00 -2.34588599e+00 -6",0.031,1790240642.354
49,01_similar_variables,get_embedding,pattern,,"[ 3.13648969e-01  1.10282503e-01 -1.86384678e+00  1.21692550e+00
 -1.24632061e+00 -8.94546449e-01 -2",0.047,1790240642.417
50,01_similar_variables,get_embedding,matched_lines,,"[ 2.69875026e+00  1.58135760e+00 -1.38071704e+00  1.42794681e+00
  1.64997414e-01 -2.50884032e+00  1",0.031,1790240642.479
51,01_similar_variables,get_embedding,tokens,,"[-5.21376550e-01 -2.72117352e+00  1.06133418e-02  3.71768363e-02
 -2.00711295e-01  3.57539564e-01 -2",0.031,1790240642.62
52,01_similar_variables,get_embedding,dist,,"[ 9.15045261e-01  1.97513178e-01  1.64078665e+00 -3.32405776e-01
 -1.84406984e+00  6.05179131e-01 -6",0.031,1790240642.682
53,01_similar_variables,get_embedding,py_code,,"[ 4.64796454e-01 -9.14361000e-01  8.41941059e-01  1.34452057e+00
 -2.14940757e-01 -6.14155114e-01 -1",0.031,1790240642.761
54,01_similar_variables,get_embedding,parsed_py_code,,"[ 1.75202286e+00 -6.22861505e-01 -1.45798159e+00  1.74236894e+00
 -2.83700526e-01  1.62411571e+00 -1",0.047,1790240642.839
55,01_similar_variables,get_embedding,max_line_no,,"[-2.49682426e+00 -1.32957482e+00  1.81903526e-01  1.58765638e+00
  1.19021988e+00 -2.52786803e+00  1",0.047,1790240642.903
56,01_similar_variables,get_embedding,function_name_by_line,,"[-5.51962972e-01 -2.94677258e-01 -1.73455358e-01  1.46589279e+00
 -1.21792352e+00 -9.60007429e-01 -1",0.031,1790240642.965
57,01_similar_variables,get_embedding,start_line_no,,"[ 1.17472005e+00  1.35413063e+00  2.29335022e+00 -1.60256997e-01
  2.74372578e-01  1.94771722e-01  5",0.031,1790240643.043
58,01_similar_variables,get_embedding,end_line_no,,"[-1.08813977e+00  4.96011198e-01  1.56301725e+00  1.22204888e+00
 -2.64220327e-01 -7.27367103e-01  2",0.031,1790240643.106
59,01_similar_variables,get_embedding,py_file_path_,,"[ 7.28673816e-01 -3.42784375e-01  1.27043355e+00  7.51293659e-01
  5.32017946e-01 -8.96004081e-01  9",0.031,1790240643.231
60,01_similar_variables,get_embedding,class_name_by_line,,"[-9.78279769e-01 -9.53122377e-01 -5.29284775e-01  1.10961545e+00
 -1.50543547e+00 -7.39082575e-01 -7",0.031,1790240643.434
61,01_similar_variables,get_embedding,defined_info,,"[-1.17503703e+00  6.88902318e-01  1.84916747e+00  2.11808160e-01
 -1.43506706e+00 -3.91033500e-01 -1",0.031,1790240643.746
62,01_similar_variables,get_embedding,used_info,,"[-5.26655555e-01 -1.15298772e+00  8.96903634e-01 -1.65603049e-02
  1.35996652e+00 -4.40255165e-01 -8",0.031,1790240643.824
63,01_similar_variables,get_embedding,line_no,,"[-3.21942061e-01  2.04899120e+00  1.27087665e+00  6.72639370e-01
  8.61843705e-01 -1.07899857e+00  6",0.031,1790240643.934
64,01_similar_variables,get_embedding,func_name,,"[-1.61182368e+00 -5.81736207e-01  1.16186774e+00  1.45406604e+00
 -2.82733703e+00  1.25126147e+00 -1",0.031,1790240644.012
65,01_similar_variables,get_embedding,func_name_for_func_def,,"[-9.97046232e-01 -2.11880267e-01  5.25047719e-01  2.33401418e+00
 -3.81260324e+00  7.12642133e-01 -1",0.031,1790240644.074
66,01_similar_variables,get_embedding,info_key_for_func_def,,"[-1.37103260e+00  1.25157356e-01  1.52867007e+00  2.78234243e+00
 -2.33029461e+00 -1.06613421e+00 -1",0.031,1790240644.199
67,01_similar_variables,get_embedding,import_infos,,"[ 4.30826284e-02 -9.96747091e-02  5.05073309e-01  1.22044742e+00
 -1.35224506e-01 -1.33502781e+00 -6",0.031,1790240644.277
68,01_similar_variables,get_embedding,info,,"[-1.08858383e+00  3.29525203e-01  2.10515380e+00 -9.66726243e-02
 -5.31370103e-01 -1.64437497e+00 -1",0.031,1790240644.356
69,01_similar_variables,get_embedding,import_infos_with_type,,"[-8.52683663e-01  8.16496074e-01  4.93470013e-01  3.19811749e+00
 -3.38447332e-01 -4.89078999e-01 -1",0.047,1790240644.434
70,01_similar_variables,get_embedding,name,,"[-5.77679276e-01 -3.54648620e-01  3.42875011e-02  1.53582975e-01
 -3.35779405e+00  1.94068468e+00 -1",0.031,1790240644.59
71,01_similar_variables,get_embedding,arg_names,,"[ 1.51189655e-01 -1.39891076e+00  9.93798435e-01  9.16170478e-01
 -2.25903273e+00  1.89996469e+00 -1",0.031,1790240644.668
72,01_similar_variables,get_embedding,arg_names_with_type,,"[-1.12789369e+00 -3.95405702e-02  7.46902168e-01  1.21153593e+00
 -1.92182672e+00  7.81513572e-01 -1",0.031,1790240644.746
73,01_similar_variables,get_embedding,arg_name,,"[ 0.69259757 -0.8691126   1.2497551  -0.05728678 -2.1271617   1.8020804
 -1.7093954   0.14414668  0.",0.031,1790240644.84
74,01_similar_variables,get_embedding,constant_info,,"[-1.94788069e-01 -6.39849126e-01  2.08171391e+00  9.90864277e-01
 -2.88684559e+00  6.77882060e-02 -1",0.031,1790240644.918
75,01_similar_variables,get_embedding,constant_with_type,,"[-1.65841079e+00 -6.28561139e-01  2.46287894e+00  1.97058928e+00
 -2.02213550e+00 -2.18267038e-01 -1",0.031,1790240645.168
76,01_similar_variables,get_embedding,function_bodies_info,,"[-2.82970452e+00 -8.80643845e-01  7.58663714e-01  1.57042027e+00
 -8.08374882e-01 -1.35522783e+00 -7",0.031,1790240645.262
